title,note,excerpt,url,tags,created,cover,highlights
OneNET - 中国移动物联网开放平台,,OneNET-中国移动物联网开放平台是由中国移动打造的PaaS物联网开放平台。平台能够帮助开发者轻松实现设备接入与设备连接，提供综合性的物联网解决方案，实现物联网设备的数据获取，数据存储，数据展现。,https://open.iot.10086.cn,,2022-09-21T06:12:27.000Z,https://rdl.ink/render/https%3A%2F%2Fopen.iot.10086.cn,
活动行，发现精彩城市生活-活动发布及直播平台,,找好活动、办好活动，用活动行！活动行提供创业、互联网、科技、金融、教育、 亲子、生活、聚会交友等 50 多种活动，还提供活动策划，活动推广，会议签到，活动报 名，胸卡打印等服务，是深受主办方信赖和城市白领喜爱的活动平台,https://www.huodongxing.com,,2023-03-31T02:24:24.000Z,https://rdl.ink/render/https%3A%2F%2Fwww.huodongxing.com,
象刀PPT-优质PPT模板免费下载，专业高效PPT制作工具_海量素材下载,,象刀PPT是全国专业的PPT模板制作平台，提供大量免费PPT模板与素材下载，拥有专业PPT在线制作编辑器，PPT使用素材下载等一站式服务站，轻松制作PPT。,https://ppt.101dao.com,,2023-04-07T02:57:09.000Z,https://rdl.ink/render/https%3A%2F%2Fppt.101dao.com,
中国大学生计算机设计大赛,,,http://jsjds.blcu.edu.cn,,2023-05-15T08:56:48.000Z,https://rdl.ink/render/http%3A%2F%2Fjsjds.blcu.edu.cn,
攀拓计算机能力测评 - 程序设计,,攀拓PAT：英雄各有见，何必问出处！,https://www.patest.cn/home,,2023-05-15T09:00:37.000Z,https://static.pintia.cn/assets/open-graph/PAT_v3.png,
Joplin,,"Joplin, the open source note-taking application",https://joplinapp.org,,2023-05-03T13:57:55.000Z,https://rdl.ink/render/https%3A%2F%2Fjoplinapp.org,
百度翻译开放平台,,百度帐号是登录所有百度系产品的通行证，登录后还可以在帐户管理页管理/修改您的个人信息，包括修改密码、绑定手机、身份认证等,https://fanyi-api.baidu.com/api/trans/product/desktop,,2022-11-26T07:39:15.000Z,https://rdl.ink/render/https%3A%2F%2Ffanyi-api.baidu.com%2Fapi%2Ftrans%2Fproduct%2Fdesktop,
人工智能入门级开发者认证_在线课程_华为云开发者学堂_云计算培训-华为云,,,https://education.huaweicloud.com/courses/course-v1:HuaweiX+CBUCNXEP010+Self-paced/courseware/3e68d1472f8246299af75dfaa5b6d119/fe272fba969e40029c536521bd51cb66,,2022-11-18T08:01:37.000Z,https://rdl.ink/render/https%3A%2F%2Feducation.huaweicloud.com%2Fcourses%2Fcourse-v1%3AHuaweiX%2BCBUCNXEP010%2BSelf-paced%2Fcourseware%2F3e68d1472f8246299af75dfaa5b6d119%2Ffe272fba969e40029c536521bd51cb66,
共建智能世界云底座-华为云,,华为云提供稳定可靠、安全可信、可持续发展的云服务，致力于让云无处不在，让智能无所不及，共建智能世界云底座。助力企业降本增效，全球300万客户的共同选择。7x24小时专业服务支持，5天内无理由退订，免费快速备案。,https://www.huaweicloud.com/?ticket=ST-1029773-3meD9SDMiU4yMqKbt7bUGutt-sso,,2022-11-18T07:56:59.000Z,https://rdl.ink/render/https%3A%2F%2Fwww.huaweicloud.com%2F%3Fticket%3DST-1029773-3meD9SDMiU4yMqKbt7bUGutt-sso,
精选项目课程_IT热门课程_蓝桥云课课程 - 蓝桥云课,,蓝桥云课是国内领先的IT在线编程及在线实训学习平台，专业导师提供精选的实践项目，创新的技术使得学习者无需配置繁琐的本地环境，随时在线流畅使用。以就业为导向，         提供编程、运维、测试、云计算、大数据、数据库等全面的IT技术动手实践环境，         提供Linux、Python、Java、C语言、Node.js、Hadoop、PHP、Docker、Git、         R、SQL、MongoDB、Redis、Swift、Spark等千门热门课程。,https://www.lanqiao.cn/courses?category=Web+%E5%89%8D%E7%AB%AF%E5%BC%80%E5%8F%91&fee=free&level=all&sort=default&tag=%E5%85%A8%E9%83%A8,,2022-10-31T15:43:19.000Z,https://rdl.ink/render/https%3A%2F%2Fwww.lanqiao.cn%2Fcourses%3Fcategory%3DWeb%2B%25E5%2589%258D%25E7%25AB%25AF%25E5%25BC%2580%25E5%258F%2591%26fee%3Dfree%26level%3Dall%26sort%3Ddefault%26tag%3D%25E5%2585%25A8%25E9%2583%25A8,
团体程序设计天梯赛,,,https://gplt.patest.cn/regulation,,2022-10-24T00:51:13.000Z,https://rdl.ink/render/https%3A%2F%2Fgplt.patest.cn%2Fregulation,
国家级大学生创新创业训练计划平台,,,http://gjcxcy.bjtu.edu.cn/Index.aspx,,2022-10-22T02:29:16.000Z,https://rdl.ink/render/http%3A%2F%2Fgjcxcy.bjtu.edu.cn%2FIndex.aspx,
